Dose_mpk,Time_days,TV_mm3
0,0.165745856,376.4320786
0,3.20441989,579.3780687
0,6.850828729,900.1636661
0,10.05524862,1273.322422
0,12.98342541,1859.247136
1,0.220994475,373.1587561
1,2.983425414,507.3649755
1,7.016574586,625.2045827
1,10.05524862,680.8510638
1,13.03867403,808.5106383
1,16.02209945,1001.636661
1,20.99447514,1479.541735
3,0.220994475,373.1587561
3,3.20441989,471.3584288
3,7.071823204,556.4648118
3,10,510.6382979
3,13.03867403,504.091653
3,16.02209945,474.6317512
3,20.8839779,523.7315876
3,23.92265193,883.797054
3,27.84530387,1332.242226
10,0.110497238,360.0654664
10,3.093922652,471.3584288
10,7.071823204,510.6382979
10,10,461.5384615
10,12.98342541,373.1587561
10,15.85635359,294.599018
10,20.99447514,193.1260229
10,23.92265193,268.4124386
10,27.84530387,412.4386252
10,30.93922652,625.2045827
10,35.02762431,1119.476268
10,37.9558011,1220.949264
